Sex,S,C,Q,Age,Pclass,SibSp,Parch,Fare,Survived
1,1,0,0,22,3,1,0,7.25,0
0,0,1,0,38,1,1,0,712833.00,1
0,1,0,0,26,3,0,0,7925.00,1
0,1,0,0,35,1,1,0,53.10,1
1,1,0,0,35,3,0,0,8.05,0
1,0,0,1,29,3,0,0,84583.00,0
1,1,0,0,54,1,0,0,518625.00,0
1,1,0,0,2,3,3,1,21075.00,0
0,1,0,0,27,3,0,2,111333.00,1
0,0,1,0,14,2,1,0,300708.00,1
0,1,0,0,4,3,1,1,16.70,1
0,1,0,0,58,1,0,0,26.55,1
1,1,0,0,20,3,0,0,8.05,0
1,1,0,0,39,3,1,5,31275.00,0
0,1,0,0,14,3,0,0,78542.00,0
0,1,0,0,55,2,0,0,16.00,1
1,0,0,1,2,3,4,1,29125.00,0
1,1,0,0,29,2,0,0,13.00,1
0,1,0,0,31,3,1,0,18.00,0
0,0,1,0,29,3,0,0,7225.00,1
1,1,0,0,35,2,0,0,26.00,0
1,1,0,0,34,2,0,0,13.00,1
0,0,0,1,15,3,0,0,80292.00,1
1,1,0,0,28,1,0,0,35.50,1
0,1,0,0,8,3,3,1,21075.00,0
0,1,0,0,38,3,1,5,313875.00,1
1,0,1,0,29,3,0,0,7225.00,0
1,1,0,0,19,1,3,2,263.00,0
0,0,0,1,29,3,0,0,78792.00,1
1,1,0,0,29,3,0,0,78958.00,0
1,0,1,0,40,1,0,0,277208.00,0
0,0,1,0,29,1,1,0,1465208.00,1
0,0,0,1,29,3,0,0,7.75,1
1,1,0,0,66,2,0,0,10.50,0
1,0,1,0,28,1,1,0,821708.00,0
1,1,0,0,42,1,1,0,52.00,0
1,0,1,0,29,3,0,0,72292.00,1
1,1,0,0,21,3,0,0,8.05,0
0,1,0,0,18,3,2,0,18.00,0
0,0,1,0,14,3,1,0,112417.00,1
0,1,0,0,40,3,1,0,9475.00,0
0,1,0,0,27,2,1,0,21.00,0
1,0,1,0,29,3,0,0,78958.00,0
0,0,1,0,3,2,1,2,415792.00,1
0,0,0,1,19,3,0,0,78792.00,1
1,1,0,0,29,3,0,0,8.05,0
1,0,0,1,29,3,1,0,15.50,0
0,0,0,1,29,3,0,0,7.75,1
1,0,1,0,29,3,2,0,216792.00,0
0,1,0,0,18,3,1,0,17.80,0
1,1,0,0,7,3,4,1,396875.00,0
1,1,0,0,21,3,0,0,7.80,0
0,0,1,0,49,1,1,0,767292.00,1
0,1,0,0,29,2,1,0,26.00,1
1,0,1,0,65,1,0,1,619792.00,0
1,1,0,0,29,1,0,0,35.50,1
0,1,0,0,21,2,0,0,10.50,1
1,0,1,0,28,3,0,0,72292.00,0
0,1,0,0,5,2,1,2,27.75,1
1,1,0,0,11,3,5,2,46.90,0
1,0,1,0,22,3,0,0,72292.00,0
0,1,0,0,38,1,0,0,80.00,1
1,1,0,0,45,1,1,0,83475.00,0
1,1,0,0,4,3,3,2,27.90,0
1,0,1,0,29,1,0,0,277208.00,0
1,0,1,0,29,3,1,1,152458.00,1
0,1,0,0,29,2,0,0,10.50,1
1,1,0,0,19,3,0,0,81583.00,0
0,1,0,0,17,3,4,2,7925.00,1
1,1,0,0,26,3,2,0,86625.00,0
1,1,0,0,32,2,0,0,10.50,0
0,1,0,0,16,3,5,2,46.90,0
1,1,0,0,21,2,0,0,73.50,0
1,0,1,0,26,3,1,0,144542.00,0
1,1,0,0,32,3,0,0,564958.00,1
1,1,0,0,25,3,0,0,7.65,0
1,1,0,0,29,3,0,0,78958.00,0
1,1,0,0,29,3,0,0,8.05,0
1,1,0,0,1,2,0,2,29.00,1
0,1,0,0,30,3,0,0,12475.00,1
1,1,0,0,22,3,0,0,9.00,0
1,1,0,0,29,3,0,0,9.50,1
0,0,0,1,29,3,0,0,77875.00,1
1,1,0,0,28,1,0,0,47.10,0
0,1,0,0,17,2,0,0,10.50,1
0,1,0,0,33,3,3,0,15.85,1
1,1,0,0,16,3,1,3,34375.00,0
1,1,0,0,29,3,0,0,8.05,0
0,1,0,0,23,1,3,2,263.00,1
1,1,0,0,24,3,0,0,8.05,0
1,1,0,0,29,3,0,0,8.05,0
1,1,0,0,20,3,0,0,78542.00,0
1,1,0,0,46,1,1,0,61175.00,0
1,1,0,0,26,3,1,2,20575.00,0
1,1,0,0,59,3,0,0,7.25,0
1,1,0,0,29,3,0,0,8.05,0
1,0,1,0,71,1,0,0,346542.00,0
1,0,1,0,23,1,0,1,633583.00,1
0,1,0,0,34,2,0,1,23.00,1
1,1,0,0,34,2,1,0,26.00,0
0,1,0,0,28,3,0,0,78958.00,0
1,1,0,0,29,3,0,0,78958.00,0
1,1,0,0,21,1,0,1,772875.00,0
1,1,0,0,33,3,0,0,86542.00,0
1,1,0,0,37,3,2,0,7925.00,0
1,1,0,0,28,3,0,0,78958.00,0
0,1,0,0,21,3,0,0,7.65,1
1,1,0,0,29,3,0,0,7775.00,1
1,1,0,0,38,3,0,0,78958.00,0
0,0,0,1,29,3,1,0,24.15,1
1,1,0,0,47,1,0,0,52.00,0
0,0,1,0,14,3,1,0,144542.00,0
1,1,0,0,22,3,0,0,8.05,0
0,1,0,0,20,3,1,0,9825.00,0
0,0,1,0,17,3,0,0,144583.00,0
1,1,0,0,21,3,0,0,7925.00,0
1,0,0,1,70,3,0,0,7.75,0
1,1,0,0,29,2,1,0,21.00,0
1,0,1,0,24,1,0,1,2475208.00,0
0,1,0,0,2,3,4,2,31275.00,0
1,1,0,0,21,2,2,0,73.50,0
1,1,0,0,29,3,0,0,8.05,0
1,0,1,0,32,2,1,0,300708.00,0
0,1,0,0,32,2,0,0,13.00,1
1,1,0,0,54,1,0,1,772875.00,0
1,0,1,0,12,3,1,0,112417.00,1
1,0,0,1,29,3,0,0,7.75,0
1,1,0,0,24,3,0,0,71417.00,1
0,0,1,0,29,3,1,1,223583.00,1
1,1,0,0,45,3,0,0,6975.00,0
1,0,1,0,33,3,0,0,78958.00,0
1,1,0,0,20,3,0,0,7.05,0
0,1,0,0,47,3,1,0,14.50,0
0,1,0,0,29,2,1,0,26.00,1
1,1,0,0,25,2,0,0,13.00,0
1,0,1,0,23,2,0,0,150458.00,0
0,1,0,0,19,1,0,2,262833.00,1
1,1,0,0,37,1,1,0,53.10,0
1,1,0,0,16,3,0,0,92167.00,0
1,0,1,0,24,1,0,0,79.20,0
0,0,1,0,29,3,0,2,152458.00,0
0,1,0,0,22,3,0,0,7.75,1
0,1,0,0,24,3,1,0,15.85,1
1,0,0,1,19,3,0,0,6.75,0
1,1,0,0,18,2,0,0,11.50,0
1,1,0,0,19,2,1,1,36.75,0
1,1,0,0,27,3,0,0,77958.00,1
0,1,0,0,9,3,2,2,34375.00,0
1,1,0,0,36,2,0,2,26.00,0
1,1,0,0,42,2,0,0,13.00,0
1,1,0,0,51,2,0,0,12525.00,0
0,1,0,0,22,1,1,0,66.60,1
1,1,0,0,55,3,0,0,8.05,0
1,1,0,0,40,3,0,2,14.50,0
1,1,0,0,29,3,0,0,73125.00,0
1,0,1,0,51,1,0,1,613792.00,0
0,0,0,1,16,3,0,0,77333.00,1
1,1,0,0,30,3,0,0,8.05,0
1,1,0,0,29,3,0,0,86625.00,0
1,1,0,0,29,3,8,2,69.55,0
1,1,0,0,44,3,0,1,16.10,0
0,1,0,0,40,2,0,0,15.75,1
1,1,0,0,26,3,0,0,7775.00,0
1,1,0,0,17,3,0,0,86625.00,0
1,1,0,0,1,3,4,1,396875.00,0
1,1,0,0,9,3,0,2,20525.00,1
0,1,0,0,29,1,0,1,55.00,1
0,1,0,0,45,3,1,4,27.90,0
1,1,0,0,29,1,0,0,25925.00,0
1,1,0,0,28,3,0,0,564958.00,0
1,1,0,0,61,1,0,0,33.50,0
1,0,0,1,4,3,4,1,29125.00,0
0,1,0,0,1,3,1,1,111333.00,1
1,1,0,0,21,3,0,0,7925.00,0
1,0,1,0,56,1,0,0,306958.00,0
1,1,0,0,18,3,1,1,78542.00,0
1,1,0,0,29,3,3,1,254667.00,0
0,0,1,0,50,1,0,0,287125.00,0
1,1,0,0,30,2,0,0,13.00,0
1,1,0,0,36,3,0,0,0.00,0
0,1,0,0,29,3,8,2,69.55,0
1,0,1,0,29,2,0,0,15.05,0
1,1,0,0,9,3,4,2,313875.00,0
1,1,0,0,1,2,2,1,39.00,1
0,1,0,0,4,3,0,2,22025.00,1
1,1,0,0,29,1,0,0,50.00,0
0,0,0,1,29,3,1,0,15.50,1
1,1,0,0,45,1,0,0,26.55,1
1,0,0,1,40,3,1,1,15.50,0
1,1,0,0,36,3,0,0,78958.00,0
0,1,0,0,32,2,0,0,13.00,1
1,1,0,0,19,2,0,0,13.00,0
0,1,0,0,19,3,1,0,78542.00,1
1,1,0,0,3,2,1,1,26.00,1
0,0,1,0,44,1,0,0,277208.00,1
0,0,1,0,58,1,0,0,1465208.00,1
1,0,0,1,29,3,0,0,7.75,0
1,1,0,0,42,3,0,1,84042.00,0
0,0,0,1,29,3,0,0,7.75,1
0,1,0,0,24,2,0,0,13.00,0
1,1,0,0,28,3,0,0,9.50,0
1,1,0,0,29,3,8,2,69.55,0
1,1,0,0,34,3,0,0,64958.00,0
1,0,1,0,45,3,0,0,7225.00,0
1,1,0,0,18,3,0,0,8.05,1
0,1,0,0,2,3,0,1,104625.00,0
1,1,0,0,32,3,1,0,15.85,0
1,0,1,0,26,3,0,0,187875.00,1
0,0,0,1,16,3,0,0,7.75,1
1,0,1,0,40,1,0,0,31.00,1
1,1,0,0,24,3,0,0,7.05,0
0,1,0,0,35,2,0,0,21.00,1
1,1,0,0,22,3,0,0,7.25,0
1,1,0,0,30,2,0,0,13.00,0
1,0,0,1,29,3,1,0,7.75,0
0,0,1,0,31,1,1,0,113275.00,1
0,1,0,0,27,3,0,0,7925.00,1
1,1,0,0,42,2,1,0,27.00,0
0,0,1,0,32,1,0,0,762917.00,1
1,1,0,0,30,2,0,0,10.50,0
1,1,0,0,16,3,0,0,8.05,1
1,1,0,0,27,2,0,0,13.00,0
1,1,0,0,51,3,0,0,8.05,0
1,1,0,0,29,3,0,0,78958.00,0
1,1,0,0,38,1,1,0,90.00,1
1,1,0,0,22,3,0,0,9.35,0
1,1,0,0,19,2,0,0,10.50,1
1,1,0,0,20,3,0,0,7.25,0
1,1,0,0,18,2,0,0,13.00,0
0,1,0,0,29,3,3,1,254667.00,0
0,1,0,0,35,1,1,0,83475.00,1
1,1,0,0,29,3,0,0,7775.00,0
1,1,0,0,59,2,0,0,13.50,0
0,1,0,0,5,3,4,2,313875.00,1
1,1,0,0,24,2,0,0,10.50,0
0,1,0,0,29,3,0,0,7.55,0
1,1,0,0,44,2,1,0,26.00,0
0,1,0,0,8,2,0,2,26.25,1
1,1,0,0,19,2,0,0,10.50,0
1,1,0,0,33,2,0,0,12275.00,0
0,0,1,0,29,3,1,0,144542.00,0
0,0,0,1,29,3,1,0,15.50,1
1,1,0,0,29,2,0,0,10.50,0
1,1,0,0,22,3,0,0,7125.00,0
1,0,1,0,30,3,0,0,7225.00,0
1,0,0,1,44,1,2,0,90.00,0
0,1,0,0,25,3,0,0,7775.00,0
0,1,0,0,24,2,0,2,14.50,1
1,1,0,0,37,1,1,1,525542.00,1
1,1,0,0,54,2,1,0,26.00,0
1,1,0,0,29,3,0,0,7.25,0
0,1,0,0,29,3,1,1,104625.00,0
1,1,0,0,62,1,0,0,26.55,0
1,1,0,0,30,3,1,0,16.10,0
0,1,0,0,41,3,0,2,202125.00,0
0,0,1,0,29,3,0,2,152458.00,1
0,0,1,0,29,1,0,0,79.20,1
0,1,0,0,30,1,0,0,86.50,1
0,0,1,0,35,1,0,0,5123292.00,1
0,1,0,0,50,2,0,1,26.00,1
1,0,0,1,29,3,0,0,7.75,0
1,1,0,0,3,3,4,2,313875.00,1
1,1,0,0,52,1,1,1,79.65,0
1,1,0,0,40,1,0,0,0.00,0
0,0,0,1,29,3,0,0,7.75,0
1,1,0,0,36,2,0,0,10.50,0
1,1,0,0,16,3,4,1,396875.00,0
1,1,0,0,25,3,1,0,7775.00,1
0,1,0,0,58,1,0,1,1534625.00,1
0,1,0,0,35,1,0,0,1356333.00,1
1,1,0,0,29,1,0,0,31.00,0
1,1,0,0,25,3,0,0,0.00,1
0,1,0,0,41,2,0,1,19.50,1
1,0,1,0,37,1,0,1,29.70,0
0,0,0,1,29,3,0,0,7.75,1
0,1,0,0,63,1,1,0,779583.00,1
0,1,0,0,45,3,0,0,7.75,0
1,1,0,0,29,2,0,0,0.00,0
1,0,0,1,7,3,4,1,29125.00,0
0,1,0,0,35,3,1,1,20.25,1
1,0,0,1,65,3,0,0,7.75,0
1,1,0,0,28,3,0,0,78542.00,0
1,1,0,0,16,3,0,0,9.50,0
1,1,0,0,19,3,0,0,8.05,1
1,1,0,0,29,1,0,0,26.00,0
1,0,1,0,33,3,0,0,86625.00,0
1,1,0,0,30,3,0,0,9.50,1
1,1,0,0,22,3,0,0,78958.00,0
1,1,0,0,42,2,0,0,13.00,1
0,0,0,1,22,3,0,0,7.75,1
0,1,0,0,26,1,0,0,78.85,1
0,0,1,0,19,1,1,0,910792.00,1
1,0,1,0,36,2,0,0,12875.00,0
0,1,0,0,24,3,0,0,8.85,0
1,1,0,0,24,3,0,0,78958.00,0
1,0,1,0,29,1,0,0,277208.00,0
1,0,1,0,23,3,0,0,72292.00,0
0,1,0,0,2,1,1,2,151.55,0
1,1,0,0,29,1,0,0,30.50,1
0,0,1,0,50,1,0,1,2475208.00,1
0,0,0,1,29,3,0,0,7.75,1
1,0,0,1,29,3,2,0,23.25,1
1,1,0,0,19,3,0,0,0.00,0
0,0,0,1,29,2,0,0,12.35,1
1,1,0,0,29,3,0,0,8.05,0
1,1,0,0,1,1,1,2,151.55,1
0,0,1,0,29,1,0,0,1108833.00,1
0,0,1,0,17,1,1,0,108.90,1
1,0,1,0,30,2,1,0,24.00,0
0,0,1,0,30,1,0,0,569292.00,1
0,0,1,0,24,1,0,0,831583.00,1
0,0,1,0,18,1,2,2,262375.00,1
0,1,0,0,26,2,1,1,26.00,0
1,1,0,0,28,3,0,0,78958.00,0
1,1,0,0,43,2,1,1,26.25,0
0,1,0,0,26,3,0,0,78542.00,1
0,1,0,0,24,2,1,0,26.00,1
1,1,0,0,54,2,0,0,14.00,0
0,1,0,0,31,1,0,2,1648667.00,1
0,0,1,0,40,1,1,1,134.50,1
1,1,0,0,22,3,0,0,7.25,0
1,1,0,0,27,3,0,0,78958.00,0
0,0,0,1,30,2,0,0,12.35,1
0,1,0,0,22,2,1,1,29.00,1
1,1,0,0,29,3,8,2,69.55,0
0,0,1,0,36,1,0,0,1356333.00,1
1,1,0,0,61,3,0,0,62375.00,0
0,1,0,0,36,2,0,0,13.00,1
0,1,0,0,31,3,1,1,20525.00,1
0,0,1,0,16,1,0,1,579792.00,1
0,0,0,1,29,3,2,0,23.25,1
1,1,0,0,45,1,0,0,28.50,0
1,1,0,0,38,1,0,1,1534625.00,0
1,1,0,0,16,3,2,0,18.00,0
0,1,0,0,29,1,1,0,133.65,1
1,1,0,0,29,3,0,0,78958.00,0
1,1,0,0,29,1,1,0,66.60,0
0,0,1,0,41,1,0,0,134.50,1
1,1,0,0,45,3,0,0,8.05,1
1,1,0,0,45,1,0,0,35.50,0
1,1,0,0,2,2,1,1,26.00,1
0,1,0,0,24,1,3,2,263.00,1
1,1,0,0,28,2,0,0,13.00,0
1,1,0,0,25,2,0,0,13.00,0
1,1,0,0,36,2,0,0,13.00,0
0,1,0,0,24,2,0,0,13.00,1
0,1,0,0,40,2,0,0,13.00,1
0,1,0,0,29,3,1,0,16.10,1
1,1,0,0,3,3,1,1,15.90,1
1,1,0,0,42,3,0,0,86625.00,0
1,1,0,0,23,3,0,0,9225.00,0
1,1,0,0,29,1,0,0,35.00,0
1,0,1,0,15,3,1,1,72292.00,0
1,1,0,0,25,3,1,0,17.80,0
1,0,1,0,29,3,0,0,7225.00,0
1,1,0,0,28,3,0,0,9.50,0
0,1,0,0,22,1,0,1,55.00,1
0,1,0,0,38,2,0,0,13.00,0
0,0,0,1,29,3,0,0,78792.00,1
0,0,0,1,29,3,0,0,78792.00,1
1,1,0,0,40,3,1,4,27.90,0
1,0,1,0,29,2,1,0,277208.00,0
0,0,1,0,45,3,0,1,144542.00,0
1,1,0,0,35,3,0,0,7.05,0
1,0,0,1,29,3,1,0,15.50,0
1,1,0,0,30,3,0,0,7.25,0
0,0,1,0,60,1,1,0,75.25,1
0,0,1,0,29,3,0,0,72292.00,1
0,0,0,1,29,3,0,0,7.75,1
0,0,1,0,24,1,0,0,69.30,1
1,0,1,0,25,1,1,0,554417.00,1
1,1,0,0,18,3,1,0,64958.00,0
1,1,0,0,19,3,0,0,8.05,0
1,0,1,0,22,1,0,0,1356333.00,0
0,1,0,0,3,3,3,1,21075.00,0
0,0,1,0,29,1,1,0,821708.00,1
0,1,0,0,22,3,0,0,7.25,1
1,0,1,0,27,1,0,2,211.50,0
1,0,1,0,20,3,0,0,40125.00,0
1,1,0,0,19,3,0,0,7775.00,0
0,0,1,0,42,1,0,0,227525.00,1
0,0,1,0,1,3,0,2,157417.00,1
1,1,0,0,32,3,0,0,7925.00,0
0,1,0,0,35,1,1,0,52.00,1
1,1,0,0,29,3,0,0,78958.00,0
1,1,0,0,18,2,0,0,73.50,0
1,1,0,0,1,3,5,2,46.90,0
0,1,0,0,36,2,0,0,13.00,1
1,0,0,1,29,3,0,0,77292.00,0
0,0,1,0,17,2,0,0,12.00,1
1,1,0,0,36,1,1,2,120.00,1
1,1,0,0,21,3,0,0,77958.00,1
1,1,0,0,28,3,2,0,7925.00,0
0,0,1,0,23,1,1,0,113275.00,1
0,1,0,0,24,3,0,2,16.70,1
1,1,0,0,22,3,0,0,77958.00,0
0,1,0,0,31,3,0,0,78542.00,0
1,1,0,0,46,2,0,0,26.00,0
1,1,0,0,23,2,0,0,10.50,0
0,1,0,0,28,2,0,0,12.65,1
1,1,0,0,39,3,0,0,7925.00,1
1,1,0,0,26,3,0,0,8.05,0
0,1,0,0,21,3,1,0,9825.00,0
1,1,0,0,28,3,1,0,15.85,0
0,1,0,0,20,3,0,0,86625.00,0
1,1,0,0,34,2,1,0,21.00,0
1,1,0,0,51,3,0,0,7.75,0
1,1,0,0,3,2,1,1,18.75,1
1,1,0,0,21,3,0,0,7775.00,0
0,1,0,0,29,3,3,1,254667.00,0
1,1,0,0,29,3,0,0,78958.00,0
1,0,0,1,29,3,0,0,68583.00,0
0,0,0,1,33,1,1,0,90.00,1
1,1,0,0,29,2,0,0,0.00,0
1,1,0,0,44,3,0,0,7925.00,1
0,1,0,0,29,3,0,0,8.05,0
0,1,0,0,34,2,1,1,32.50,1
0,1,0,0,18,2,0,2,13.00,1
1,1,0,0,30,2,0,0,13.00,0
0,1,0,0,10,3,0,2,24.15,0
1,0,1,0,29,3,0,0,78958.00,0
1,0,0,1,21,3,0,0,77333.00,0
1,1,0,0,29,3,0,0,7875.00,0
0,1,0,0,28,3,1,1,14.40,0
1,1,0,0,18,3,1,1,202125.00,0
1,1,0,0,29,3,0,0,7.25,0
0,1,0,0,28,2,1,0,26.00,1
0,1,0,0,19,2,0,0,26.00,1
1,0,0,1,29,3,0,0,7.75,0
1,1,0,0,32,3,0,0,8.05,1
1,1,0,0,28,1,0,0,26.55,1
0,1,0,0,29,3,1,0,16.10,1
0,1,0,0,42,2,1,0,26.00,1
1,1,0,0,17,3,0,0,7125.00,0
1,1,0,0,50,1,1,0,55.90,0
0,1,0,0,14,1,1,2,120.00,1
0,1,0,0,21,3,2,2,34375.00,0
0,1,0,0,24,2,2,3,18.75,1
1,1,0,0,64,1,1,4,263.00,0
1,1,0,0,31,2,0,0,10.50,0
0,1,0,0,45,2,1,1,26.25,1
1,1,0,0,20,3,0,0,9.50,0
1,1,0,0,25,3,1,0,7775.00,0
0,1,0,0,28,2,0,0,13.00,1
1,1,0,0,29,3,0,0,81125.00,1
